"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","comparison","status"
"CCDC32",1.56691500216266e-81,9.8935079917245,0.03,0,4.3425482369936e-77,"CCDC32","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"UQCRHL",2.55550239953885e-81,3.70852991756531,0.038,0.003,7.08231935008197e-77,"UQCRHL","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"EBLN3P",2.58450093810779e-81,9.79177613015554,0.03,0,7.16268589987194e-77,"EBLN3P","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"RAMMET",1.15950909916101e-80,9.80408859281406,0.029,0,3.21346351741483e-76,"RAMMET","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"DKK3",1.20169246618516e-78,4.16238232216481,0.038,0.003,3.33037050078556e-74,"DKK3","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"OGA",1.27221268339141e-77,9.77415149030085,0.028,0,3.52581023075095e-73,"OGA","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"NAXE",2.09702461490135e-77,9.70992857588342,0.028,0,5.8116940177376e-73,"NAXE","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"NEPRO",1.54746274447297e-76,9.87824964900912,0.028,0,4.28863825003239e-72,"NEPRO","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"HIKESHI",2.55026192800798e-76,9.64625757076343,0.028,0,7.0677959072813e-72,"HIKESHI","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"TENT2",3.09863748527877e-75,9.74908581253164,0.027,0,8.58756392670159e-71,"TENT2","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"TRAV1-2",6.00550264153844e-75,4.77681649998068,0.033,0.002,1.66436500207596e-70,"TRAV1-2","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"AP002387.2",3.76151635305239e-74,9.65185300563687,0.027,0,1.04246664208494e-69,"AP002387.2","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"WASHC3",4.56207969227136e-73,9.54449712445928,0.027,0,1.26433476591609e-68,"WASHC3","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"ERG28",1.49908674131299e-71,9.59330948302163,0.026,0,4.15456899487483e-67,"ERG28","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"IFITM3",8.26415189372671e-71,1.11047332091728,0.157,0.085,2.29032705582742e-66,"IFITM3","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"RMRP",9.59606660877915e-71,2.35708198402218,0.046,0.009,2.65945389995705e-66,"RMRP","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"SINHCAF",7.17784701431847e-68,9.51671375747908,0.025,0,1.98926852154822e-63,"SINHCAF","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"AC026979.2",1.94385218529479e-67,9.50545043117049,0.025,0,5.38719194632597e-63,"AC026979.2","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"CENPX",8.66068921496002e-67,9.49025135861593,0.024,0,2.40022340903402e-62,"CENPX","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"SMIM29",2.82550459705324e-65,9.44608621199833,0.024,0,7.83060344027334e-61,"SMIM29","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"SLA2",4.92704719009518e-63,1.27554184961112,0.16,0.092,1.36548185826298e-58,"SLA2","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"PLSCR3",1.81972915913589e-62,9.35992818808402,0.023,0,5.04319739162922e-58,"PLSCR3","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"ILF3-DT",2.99207448428147e-62,9.41120859854634,0.023,0,8.29223522573766e-58,"ILF3-DT","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"CFAP298",4.91952566289887e-62,9.38553175381428,0.023,0,1.36339734221579e-57,"CFAP298","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"DMAC1",2.2953062948712e-58,9.18585898187656,0.021,0,6.36121186560604e-54,"DMAC1","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"WASHC4",1.01826501563112e-57,9.25704534005683,0.021,0,2.82201966432009e-53,"WASHC4","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"AC119396.1",1.6730367971832e-57,9.1985124846259,0.021,0,4.63665417971353e-53,"AC119396.1","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"VPS26C",2.74875376500139e-57,9.2602796260537,0.021,0,7.61789618432484e-53,"VPS26C","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"PGGHG",2.74875378754283e-57,9.41599836103575,0.021,0,7.61789624679621e-53,"PGGHG","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"MRPL58",4.515978763489e-57,9.15980975170796,0.021,0,1.25155835451334e-52,"MRPL58","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"EIF4EBP1",6.41963543371971e-57,1.29555955945966,0.088,0.039,1.77913776410108e-52,"EIF4EBP1","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"HLA-DRB5",8.3841249411788e-57,1.00214668822823,0.152,0.087,2.32357638619829e-52,"HLA-DRB5","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"TMEM131L",2.00223261294539e-56,9.2965681237457,0.02,0,5.54898746351685e-52,"TMEM131L","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"NIPSNAP2",5.40279661864001e-56,9.24465506958469,0.02,0,1.49733105488989e-51,"NIPSNAP2","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"RAB5IF",8.87461348739948e-56,9.28353361486367,0.02,0,2.45951038189789e-51,"RAB5IF","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"TUT7",8.87461351649677e-56,9.28416228489256,0.02,0,2.45951038996191e-51,"TUT7","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"RETREG3",3.93239729307181e-55,9.27427750000914,0.02,0,1.08982458580192e-50,"RETREG3","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"CYSTM1",4.88802257069169e-55,1.54800025703637,0.072,0.028,1.35466657524149e-50,"CYSTM1","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"ERBIN",2.86069630638826e-54,9.20800740582511,0.02,0,7.92813374352442e-50,"ERBIN","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"TENT4B",4.69775657638281e-54,9.30560214640507,0.02,0,1.30193625757873e-49,"TENT4B","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"NKAPD1",7.7142796121497e-54,9.07753777814568,0.02,0,2.13793545171117e-49,"NKAPD1","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
